Pos,Channel,Views,Subscriber,Vidoes,Published,SOCIAL_BLADE_RANK,VIDEO_VIEWS_RANK,COUNTRY_RANK ,MUSIC_RANK ,ESTIMATED_MONTHLY_EARNINGS ,ESTIMATED_YEARLY_EARNINGS ,SUBSCRIBERS_FOR_THE_LAST_30_DAYS ,VIDEO_VIEWS_FOR_THE_LAST_30_DAYS 
279,Flowers Comedy,"  7,084,542,620","  8,800,000","  6,778",2015-08-19,441st,363rd,170th,334th,$47.4K  -  $758.3K,$568.7K  -  $9.1M,160K 36%,189.579M 23.6%
280,BillieEilishVEVO,"  7,077,432,262","    992,000",     72,2016-08-16,490th,383rd,--,"4,146th",$41.1K  -  $656.9K,$492.7K  -  $7.9M,--,164.229M 12.1%
281,MBC مصر,"  7,077,076,954"," 10,900,000"," 30,588",2012-10-14,623rd,410th,3rd,264th,$11.4K  -  $181.8K,$136.3K  -  $2.2M,100K 0.0%,45.445M 25.6%
282,Познаватель,"  7,075,565,493"," 15,800,000",    431,2014-10-20,957th,395th,2nd,120th,$22.9K  -  $366.6K,$274.9K  -  $4.4M,100K 0.0%,91.638M 5.8%
283,Blippi Toys,"  7,064,095,553","  7,480,000",    245,2015-07-06,513th,378th,497th,68th,$47.4K  -  $757.8K,$568.4K  -  $9.1M,190K 11.8%,189.457M 1.4%
284,Just For Laughs Gags,"  7,054,086,905"," 11,500,000","  4,790",2007-01-14,"2,131st",418th,258th,32nd,$4.7K  -  $74.9K,$56.2K  -  $898.9K,100K 0.0%,18.728M 68.6%
285,Me contro Te,"  7,046,287,018","  5,860,000","  1,527",2014-09-28,"1,273rd",388th,6th,714th,$26.5K  -  $423.5K,$317.7K  -  $5.1M,30K 40%,105.884M 36.5%
286,POCOYÓ en ESPAÑOL - Canal Oficial,"  7,045,346,546","  9,810,000","  1,301",2007-07-31,"1,321st",394th,25th,48th,$30.2K  -  $483.1K,$362.3K  -  $5.8M,100K 50%,120.763M 4.7%
287,Totoykids,"  6,961,108,145"," 18,100,000",    495,2014-12-02,"43,634,314th",581st,15th,21st,$0  -  $0,$0  -  $0,100K 0.0%,-1.073B 9.1%
288,GMMTV,"  6,944,407,469"," 11,300,000"," 12,713",2010-09-13,"41,844,684th","27,267,284th","1,956,835th","1,754,617th",$0.00  -  $0.01,$0.01  -  $0.10,-1 0.0%,2 0.0%
289,Les' Copaque Production,"  6,927,552,312"," 14,500,000","  1,299",2009-11-09,"1,607th",419th,1st,32nd,$17.4K  -  $278K,$208.5K  -  $3.3M,100K 0.0%,69.506M 7.6%
290,Vat19,"  6,911,109,682","  7,930,000","  1,558",2007-02-28,"4,862nd",435th,504th,451st,$9.4K  -  $151K,$113.3K  -  $1.8M,30K 200.0%,37.762M 40.4%
291,Zig & Sharko,"  6,896,150,515"," 11,600,000",    674,2015-05-06,"1,088th",404th,--,39th,$28.5K  -  $455.9K,$342K  -  $5.5M,200K 100.0%,113.983M 5.0%
292,СТС,"  6,854,004,205","  8,890,000","  9,378",2007-03-08,576th,389th,23rd,60th,$55.3K  -  $884.1K,$663.1K  -  $10.6M,150K 114.3%,221.024M 26.7%
293,Like Nastya Vlog,"  6,847,013,793"," 17,000,000",    279,2016-01-14,"2,848th",432nd,4th,16th,$11.1K  -  $177.5K,$133.1K  -  $2.1M,--,44.369M 1.8%
294,KBS Entertain,"  6,827,878,542","  4,400,000"," 98,722",2011-12-28,946th,412th,66th,"1,102nd",$27.4K  -  $438.6K,$328.9K  -  $5.3M,30K 25%,109.646M 5.3%
295,Jorge & Mateus Oficial,"  6,799,363,761"," 14,100,000",    277,2008-07-29,581st,426th,35th,151st,$20.9K  -  $334.3K,$250.8K  -  $4M,--,83.587M 13.9%
296,Family Box,"  6,765,447,726","  8,800,000",    827,2015-01-21,"1,620th",425th,24th,356th,$23.1K  -  $369.1K,$276.8K  -  $4.4M,120K 71.4%,92.264M 2.7%
297,zbing z.,"  6,721,792,234"," 13,900,000","  2,342",2014-03-12,760th,413th,8th,41st,$34.8K  -  $557.4K,$418.1K  -  $6.7M,300K 0.0%,139.357M 2.2%
298,FifthHarmonyVEVO,"  6,671,198,545","  9,730,000",     87,2013-03-04,"7,231st",462nd,367th,254th,$6.9K  -  $110.4K,$82.8K  -  $1.3M,-10K 0.0%,27.599M 6.3%
299,Барбоскины,"  6,664,447,269","  6,300,000",    956,2011-11-02,"3,860th",451st,63rd,113th,$11.7K  -  $187.7K,$140.8K  -  $2.3M,40K 100.0%,46.936M 2.4%
300,Flamingo,"  6,660,960,157","  9,300,000","  1,891",2017-07-06,594th,411th,361st,105th,$37.8K  -  $604.7K,$453.5K  -  $7.3M,130K 62.5%,151.18M 1.8%
301,FV FAMILY,"  6,648,518,473","  8,020,000",    607,2018-07-20,917th,417th,465th,416th,$37.2K  -  $594.5K,$445.9K  -  $7.1M,140K 75.0%,148.632M 12.8%
302,Chotoonz TV - Funny Cartoons for Kids,"  6,645,751,519"," 10,400,000","  1,649",2013-10-31,"2,448th",454th,302nd,44th,$12.6K  -  $202.3K,$151.7K  -  $2.4M,100K 0.0%,50.566M 16.8%
303,SebastianYatraVEVO,"  6,618,346,760","  2,830,000",     68,2014-05-06,448th,437th,"1,998th","1,245th",$21.1K  -  $338K,$253.5K  -  $4.1M,--,84.511M 2.1%
304,The X Factor UK,"  6,597,112,748","  8,840,000","  4,830",2007-08-03,"10,508th",476th,56th,382nd,$4.7K  -  $75.8K,$56.9K  -  $909.8K,20K 0.0%,18.954M 8.5%
305,BIGBANG,"  6,595,564,659"," 13,600,000",    773,2005-10-10,"3,806th",465th,13th,156th,$11K  -  $176.4K,$132.3K  -  $2.1M,100K 0.0%,44.109M 6.4%
306,PostMaloneVEVO,"  6,591,926,588","  3,950,000",     35,2014-09-30,"1,552nd",445th,"1,288th",807th,$20.5K  -  $328.6K,$246.5K  -  $3.9M,--,82.157M 3.6%
307,Antena 3,"  6,585,790,116","  6,510,000"," 23,292",2006-03-11,"4,502nd",461st,57th,606th,$12.3K  -  $196.9K,$147.6K  -  $2.4M,70K 0.0%,49.216M 3.8%
308,Caso Cerrado,"  6,582,098,883","  9,490,000","  3,451",2015-03-12,"1,189th",439th,362nd,325th,$24.6K  -  $394.2K,$295.6K  -  $4.7M,80K 0.0%,98.549M 1.4%
309,1MILLION Dance Studio,"  6,575,656,297"," 24,000,000","  2,682",2015-02-06,"1,877th",452nd,4th,47th,$15.5K  -  $248K,$186K  -  $3M,100K 0.0%,61.998M 8.2%
310,Clean Bandit,"  6,574,028,883","  9,710,000",    127,2010-06-21,"2,511th",463rd,50th,247th,$13K  -  $208.6K,$156.4K  -  $2.5M,40K 0.0%,52.14M 4.9%
311,Wesley Safadão,"  6,562,001,982"," 13,000,000",    343,2009-06-21,"1,625th",459th,45th,164th,$12.2K  -  $195.3K,$146.4K  -  $2.3M,100K 0.0%,48.814M 19.6%
312,SIS vs BRO,"  6,536,760,471"," 14,400,000",    365,2016-03-03,"4,937th",480th,9th,159th,$6.5K  -  $103.3K,$77.5K  -  $1.2M,--,25.833M 3.6%
313,Peacock Kids,"  6,521,233,641","  8,920,000","  3,531",2006-09-18,"2,913th",467th,412th,367th,$14.7K  -  $235.1K,$176.3K  -  $2.8M,40K 0.0%,58.775M 12.1%
314,Porta dos Fundos,"  6,516,150,752"," 16,800,000","  1,675",2012-03-12,"4,850th",474th,23rd,110th,$10.6K  -  $170K,$127.5K  -  $2M,--,42.494M 10.4%
315,Robin Hood Gamer,"  6,501,427,636"," 16,000,000","  3,379",2014-05-17,422nd,401st,22nd,30th,$55.5K  -  $888.1K,$666.1K  -  $10.7M,300K 0.0%,222.021M 11.6%
316,Troom Troom Es,"  6,497,207,563"," 18,000,000","  2,188",2016-02-05,"1,934th",464th,--,11th,$15.1K  -  $241.4K,$181.1K  -  $2.9M,200K 100.0%,60.358M 23.4%
317,MeghanTrainorVEVO,"  6,479,033,842","  8,190,000",    185,2014-02-26,"7,464th",485th,492nd,314th,$6.5K  -  $103.5K,$77.6K  -  $1.2M,--,25.872M 8.7%
318,Got Talent Global,"  6,467,234,337"," 17,400,000","  2,030",2013-01-31,"2,027th",456th,16th,86th,$19.2K  -  $306.5K,$229.9K  -  $3.7M,200K 0.0%,76.618M 18.9%
319,RizaNovaUZ,"  6,454,476,404","  6,660,000"," 13,477",2013-03-25,"1,499th",438th,41st,359th,$32K  -  $511.9K,$384K  -  $6.1M,140K 12.5%,127.983M 11.6%
320,Ninja Kidz TV,"  6,451,978,431"," 14,800,000",    218,2017-02-09,608th,407th,149th,125th,$49.1K  -  $786.1K,$589.5K  -  $9.4M,300K 50.0%,196.516M 0.7%
321,Kwebbelkop,"  6,451,672,020"," 14,600,000","  4,689",2008-04-02,"2,154th",490th,174th,42nd,$0  -  $0,$0  -  $0,100K 0.0%,-69.552M 259.2%
322,Think Music India,"  6,447,293,042","  9,840,000","  3,292",2009-08-15,387th,422nd,142nd,215th,$46.4K  -  $743.1K,$557.3K  -  $8.9M,300K 50.0%,185.764M 6%
323,Thairath Online,"  6,440,669,960"," 11,900,000","143,671",2010-09-27,372nd,275th,14th,15th,$58.8K  -  $940.6K,$705.5K  -  $11.3M,200K 0.0%,235.162M 13.8%
324,Você Sabia?,"  6,430,118,918"," 40,700,000","  1,184",2013-09-01,"2,573rd",473rd,4th,13th,$16.4K  -  $263.2K,$197.4K  -  $3.2M,200K 33.3%,65.789M 7.5%
325,SBS Entertainment,"  6,422,569,407","  5,600,000","215,907",2011-02-21,754th,448th,49th,750th,$26.5K  -  $424.3K,$318.2K  -  $5.1M,60K 14.3%,106.069M 1.2%
326,Brancoala,"  6,401,923,735","  9,350,000","  1,433",2008-07-04,972nd,470th,88th,328th,$46.8K  -  $749K,$561.8K  -  $9M,100K 0.0%,187.259M 412%
327,Little Baby Bum en Español,"  6,320,505,573"," 11,900,000",    925,2014-06-06,"4,565th",498th,17th,37th,$7.5K  -  $120K,$90K  -  $1.4M,--,29.991M 9.1%
328,rsfriends,"  6,319,527,790","  8,900,000","  3,312",2009-11-25,"4,813th",495th,20th,277th,$9.7K  -  $155.9K,$117K  -  $1.9M,40K 0.0%,38.984M 5.3%
329,MEGA Oficial,"  6,284,034,133","  8,080,000"," 27,635",2012-08-01,"2,330th",489th,5th,431st,$13.8K  -  $221.4K,$166.1K  -  $2.7M,40K 50%,55.359M 23.3%
330,Lucas and Marcus,"  6,283,423,721"," 23,900,000",    767,2011-01-19,"4,489th",497th,62nd,49th,$6.9K  -  $110K,$82.5K  -  $1.3M,--,27.495M 39.2%
331,LosPolinesios,"  6,275,384,155"," 24,700,000",    604,2012-12-16,"2,282nd",491st,5th,4th,$15.4K  -  $246.4K,$184.8K  -  $3M,100K 0.0%,61.611M 12.8%
332,MrSuicideSheep,"  6,272,367,537"," 12,700,000","  2,904",2010-04-09,"3,621st",500th,12th,204th,$9.1K  -  $145.5K,$109.1K  -  $1.7M,--,36.364M 4.2%
333,TheRichest,"  6,271,796,350"," 15,000,000","  3,594",2014-01-20,"9,871st",513th,165th,31st,$6K  -  $96.7K,$72.5K  -  $1.2M,100K 0.0%,24.163M 23.8%
334,MK MUSIC,"  6,267,536,032"," 12,800,000","  3,568",2010-01-18,999th,475th,43rd,161st,$25.8K  -  $412.7K,$309.6K  -  $5M,200K 100.0%,103.184M 6.4%
335,FutureVEVO,"  6,261,652,014","  4,490,000",    248,2010-06-30,"3,331st",501st,"1,073rd",695th,$9.6K  -  $153.3K,$115K  -  $1.8M,--,38.335M 2.5%
336,Slogo,"  6,259,396,602"," 10,200,000","  4,620",2013-08-04,"1,004th",478th,45th,93rd,$23.6K  -  $378.3K,$283.7K  -  $4.5M,--,94.575M 14.1%
337,kevingatesTV,"  6,217,309,924","  6,920,000",    340,2012-02-03,"1,165th",487th,593rd,369th,$21.9K  -  $350.4K,$262.8K  -  $4.2M,40K 0.0%,87.61M 1.8%
338,Letupita725HD★,"  6,208,422,555","  4,100,000","  2,264",2012-08-19,"3,006th",494th,3rd,219th,$19.6K  -  $313.5K,$235.1K  -  $3.8M,50K 25.0%,78.382M 3.5%
339,Lifetime,"  6,201,212,153","  5,110,000"," 10,075",2006-03-05,"2,287th",509th,881st,888th,$9.3K  -  $149.4K,$112.1K  -  $1.8M,40K 100.0%,37.36M 15.4%
340,Just4fun290,"  6,178,496,361","  3,740,000","  2,519",2013-01-05,"11,321st",521st,"1,356th","1,430th",$4.3K  -  $69.2K,$51.9K  -  $830K,10K 0.0%,17.292M 7.2%
341,Cardi B,"  6,169,980,148"," 17,300,000",     54,2016-12-01,"1,091st",496th,--,109th,$17K  -  $271.3K,$203.4K  -  $3.3M,100K 0.0%,67.813M 5.2%
342,BritneySpearsVEVO,"  6,137,363,784","  4,960,000",    110,2009-10-15,"2,648th",512th,941st,616th,$12.2K  -  $195.7K,$146.8K  -  $2.3M,-10K 0.0%,48.928M 8.1%
343,The Lallantop,"  6,125,061,565"," 18,600,000"," 26,785",2015-03-23,319th,484th,57th,8th,$33.1K  -  $529.8K,$397.4K  -  $6.4M,300K 50.0%,132.461M 15.4%
344,AzzyLand,"  6,109,489,910"," 13,500,000","  1,538",2015-05-08,"5,113th",598th,11th,187th,$460  -  $7.4K,$5.5K  -  $88.2K,-100K 0.0%,1.838M 94%
345,Sun TV,"  6,106,510,382"," 12,700,000"," 15,951",2016-02-26,134th,368th,86th,174th,$110.3K  -  $1.8M,$1.3M  -  $21.2M,400K 33.3%,441.07M 5.3%
346,MSNBC,"  6,086,007,790","  4,380,000"," 42,215",2011-12-01,853rd,483rd,"1,064th",102nd,$30.6K  -  $489.5K,$367.2K  -  $5.9M,30K 50.0%,122.384M 5.5%
347,HaAshVEVO,"  6,082,066,450","  4,020,000",    156,2009-10-15,"2,503rd",517th,"1,253rd",787th,$12.8K  -  $204.5K,$153.4K  -  $2.5M,--,51.119M 0.2%
348,DJSnakeVEVO,"  6,080,648,354","  6,630,000",     48,2014-01-27,"3,177th",520th,643rd,404th,$13K  -  $208.3K,$156.2K  -  $2.5M,-10K 0.0%,52.069M 12.4%
349,Фиксики,"  6,053,853,108","  6,530,000",    946,2011-03-07,"6,433rd",536th,57th,108th,$7.6K  -  $121.4K,$91.1K  -  $1.5M,20K 0.0%,30.355M 2.6%
350,CNCOVEVO,"  6,051,796,481","  5,810,000",     98,2015-12-07,"3,716th",527th,770th,498th,$8.6K  -  $138.4K,$103.8K  -  $1.7M,--,34.598M 7.3%
351,Kontor.TV,"  6,041,995,538","  5,800,000","  2,154",2006-03-14,"4,416th",550th,14th,488th,$6.9K  -  $109.7K,$82.3K  -  $1.3M,10K 50%,27.434M 10.5%
352,HikakinGames,"  6,037,857,950","  5,140,000","  1,759",2013-08-17,"2,151st",515th,14th,309th,$15.4K  -  $246.3K,$184.7K  -  $3M,40K 20%,61.578M 22.4%
353,ArkivaShqip,"  6,036,046,897","  3,860,000","  8,389",2009-12-30,"4,008th",525th,33rd,"1,346th",$12.3K  -  $196.7K,$147.5K  -  $2.4M,20K 33.3%,49.168M 8.2%
354,David Dobrik,"  6,012,577,676"," 18,300,000",    478,2014-12-19,"15,941st",516th,120th,14th,$7.4K  -  $117.7K,$88.3K  -  $1.4M,--,29.418M 50.8%
355,Warner Music Italy,"  6,008,401,752","  5,360,000","  1,457",2010-09-23,"1,901st",508th,7th,530th,$17.3K  -  $277.5K,$208.1K  -  $3.3M,30K 25%,69.37M 19.6%
356,atv,"  5,994,857,110","  8,370,000"," 17,827",2014-12-23,"1,384th",529th,7th,394th,$22.4K  -  $358.7K,$269K  -  $4.3M,200K 122.2%,89.67M 553.9%
357,littlemixVEVO,"  5,978,493,032","  7,840,000",    194,2011-10-29,"1,680th",533rd,68th,324th,$12.1K  -  $192.9K,$144.6K  -  $2.3M,-10K 0.0%,48.216M 12%
358,PinkVEVO,"  5,957,255,195","  7,240,000",    171,2009-05-12,"2,476th",541st,585th,358th,$11.3K  -  $181K,$135.8K  -  $2.2M,-10K 0.0%,45.255M 2.4%
359,GameGrumps,"  5,954,964,965","  5,330,000","  7,681",2012-07-10,"7,093rd",551st,867th,308th,$7.4K  -  $117.6K,$88.2K  -  $1.4M,--,29.409M 0.9%
360,IDJVideos.TV,"  5,944,477,497","  3,480,000","  1,021",2011-05-23,"2,130th",538th,1st,"1,578th",$7.7K  -  $123.4K,$92.6K  -  $1.5M,10K 0.0%,30.858M 43.1%
361,Skrillex,"  5,922,031,413"," 19,700,000",    177,2010-04-06,"6,364th",554th,105th,93rd,$8.2K  -  $130.7K,$98K  -  $1.6M,--,32.664M 35.1%
362,Rooster Teeth,"  5,920,851,287","  9,330,000","  8,604",2006-07-11,"28,264th",572nd,394th,54th,$2.1K  -  $33.7K,$25.3K  -  $404.6K,--,8.429M 11.9%
363,Tayo the Little Bus,"  5,914,340,320","  6,800,000","  2,479",2005-12-05,"2,451st",523rd,570th,78th,$22.4K  -  $358.2K,$268.7K  -  $4.3M,140K 0.0%,89.552M 5.4%
364,Çukur,"  5,909,374,248","  6,270,000","  3,031",2017-09-13,503rd,537th,17th,119th,$12.9K  -  $206.9K,$155.2K  -  $2.5M,10K 50%,51.735M 27.6%
365,Angry Birds,"  5,906,762,173","  4,830,000","  2,203",2006-06-15,"1,741st",522nd,3rd,331st,$29.7K  -  $476K,$357K  -  $5.7M,90K 50.0%,118.994M 52.8%
366,Funny Family Games tv,"  5,872,405,399","  5,640,000","  1,034",2016-05-21,"2,165th",553rd,76th,265th,$13K  -  $208.4K,$156.3K  -  $2.5M,90K 80.0%,52.102M 18.6%
367,GunsNRosesVEVO,"  5,868,375,532","  4,670,000",     39,2009-05-12,"2,038th",544th,"1,024th",668th,$15.7K  -  $251.4K,$188.5K  -  $3M,--,62.839M 7.3%
368,Top Viral Talent,"  5,848,903,330"," 11,500,000","  1,890",2014-01-02,"3,536th",555th,255th,232nd,$11.5K  -  $184.7K,$138.5K  -  $2.2M,100K 0.0%,46.176M 27.5%
369,شبكة العاب العرب | Arab Games Network,"  5,846,909,932"," 14,700,000","  4,712",2013-11-29,836th,502nd,3rd,38th,$31.4K  -  $501.8K,$376.4K  -  $6M,200K 0.0%,125.462M 17.4%
370,prenses elif,"  5,837,260,023","  3,440,000","  5,884",2016-03-06,"5,329th",582nd,61st,"1,623rd",$4K  -  $64.6K,$48.5K  -  $775.2K,--,16.15M 10.5%
371,Patati Patatá,"  5,806,305,908","  8,010,000",    423,2011-08-15,"1,481st",540th,117th,307th,$21.9K  -  $349.8K,$262.3K  -  $4.2M,100K 11.1%,87.449M 1.1%
372,truly,"  5,803,679,977","  9,080,000","  2,467",2006-06-23,"3,856th",557th,54th,31st,$26.8K  -  $429.4K,$322.1K  -  $5.2M,120K 20%,107.355M 10.1%
373,Swan & Néo,"  5,796,843,735","  5,530,000","  1,887",2015-04-16,"3,354th",542nd,26th,780th,$18.4K  -  $294.7K,$221.1K  -  $3.5M,40K 33.3%,73.683M 13.2%
374,packattack04082,"  5,796,819,996","  4,550,000","  7,728",2007-02-08,"3,509th",571st,"1,023rd",376th,$12K  -  $192.2K,$144.2K  -  $2.3M,40K 100.0%,48.05M 24.1%
375,Collins Key,"  5,793,155,836"," 23,100,000",    249,2011-08-09,"4,667th",564th,67th,54th,$11.3K  -  $181K,$135.8K  -  $2.2M,--,45.25M 1.4%
376,Zee News,"  5,780,341,595"," 18,900,000","121,747",2007-06-19,296th,457th,51st,7th,$63.1K  -  $1M,$757.5K  -  $12.1M,400K 42.9%,252.498M 30.8%
377,Comedy Central,"  5,779,472,927"," 10,400,000","  5,523",2006-06-14,"70,380th",577th,310th,41st,$10.5K  -  $167.8K,$125.9K  -  $2M,100K 0.0%,41.955M 1.9%
378,CantaJuegoVEVO,"  5,763,593,329","  7,910,000",    491,2011-04-12,"2,471st",546th,462nd,296th,$20.7K  -  $330.4K,$247.8K  -  $4M,140K 0.0%,82.602M 0.5%
379,뽀로로(Pororo),"  5,753,106,060","  4,280,000","  3,544",2011-05-26,"3,681st",566th,69th,189th,$12.7K  -  $203.9K,$152.9K  -  $2.4M,30K 25%,50.973M 16.3%
380,VikatanTV,"  5,751,154,654","  6,560,000"," 16,981",2011-10-11,"1,465th",552nd,300th,612th,$21.4K  -  $342.1K,$256.6K  -  $4.1M,50K 25.0%,85.528M 12.2%
381,Boyce Avenue,"  5,741,320,284"," 15,100,000",    408,2007-09-02,"5,548th",586th,160th,130th,$8.2K  -  $130.5K,$97.9K  -  $1.6M,--,32.626M 3.8%
382,FitDance,"  5,726,905,636"," 14,500,000","  2,255",2013-12-26,"3,151st",578th,31st,138th,$15K  -  $240.6K,$180.4K  -  $2.9M,--,60.141M 5.2%
383,Natti Natasha,"  5,726,806,988","  9,510,000",     85,2015-03-21,968th,506th,325th,228th,$35.4K  -  $565.8K,$424.4K  -  $6.8M,200K 0.0%,141.457M 10.7%
384,ABP NEWS HINDI,"  5,725,081,412"," 21,200,000"," 97,859",2017-03-03,"1,385th",574th,47th,6th,$12K  -  $192.4K,$144.3K  -  $2.3M,100K 0.0%,48.09M 31.4%
385,Dan-Sa / Daniel Saboya,"  5,718,516,298"," 17,500,000","  1,304",2007-09-22,"3,479th",590th,18th,112th,$7.1K  -  $114.3K,$85.7K  -  $1.4M,--,28.577M 14.2%
386,TEDx Talks,"  5,715,694,278"," 31,600,000","168,073",2009-06-23,"1,937th",568th,28th,1st,$15.4K  -  $245.9K,$184.4K  -  $3M,300K 25%,61.47M 14.4%
387,Masha e o Urso,"  5,700,322,812"," 15,300,000",    632,2016-02-15,687th,528th,25th,29th,$27.2K  -  $434.9K,$326.2K  -  $5.2M,100K 50%,108.737M 13.9%
388,Migos ATL,"  5,695,008,792"," 11,300,000",     86,2012-01-17,"2,421st",561st,260th,193rd,$16.1K  -  $258.2K,$193.7K  -  $3.1M,100K 0.0%,64.556M 16%
389,KSI,"  5,691,937,168"," 22,900,000","  1,228",2009-07-25,"7,776th",605th,7th,72nd,$4.1K  -  $65.3K,$49K  -  $783.8K,100K 0.0%,16.329M 44.9%
390,V6 News Telugu,"  5,691,380,509","  6,670,000","175,439",2013-01-26,416th,519th,273rd,53rd,$39.3K  -  $628.2K,$471.2K  -  $7.5M,120K 7.7%,157.059M 10.8%
391,Poll Production,"  5,686,042,303","  3,950,000","  3,546",2011-02-26,"1,355th",548th,39th,753rd,$24.2K  -  $387.3K,$290.5K  -  $4.6M,40K 33.3%,96.829M 3.5%
392,EllieGouldingVEVO,"  5,657,920,343","  7,620,000",    128,2010-02-11,"8,855th",611th,548th,343rd,$5.4K  -  $85.7K,$64.3K  -  $1M,-10K 0.0%,21.428M 8.1%
393,Julia MineGirl,"  5,644,236,282","  8,190,000","  2,130",2015-09-21,"1,299th",559th,111th,138th,$22.1K  -  $354.1K,$265.6K  -  $4.2M,110K 10.0%,88.536M 3.8%
394,Piso 21,"  5,625,093,195","  7,120,000",     87,2011-01-27,"2,196th",593rd,19th,357th,$12.1K  -  $193.4K,$145K  -  $2.3M,20K 50%,48.348M 17.2%
395,RickyMartinVEVO,"  5,619,554,517","  3,990,000",    296,2009-09-02,"5,531st",602nd,"1,264th",795th,$8.7K  -  $139K,$104.2K  -  $1.7M,--,34.747M 3.4%
396,The Dodo,"  5,619,125,246","  9,680,000","  6,045",2014-03-21,764th,534th,327th,3rd,$52.7K  -  $843.8K,$632.8K  -  $10.1M,300K 114.3%,210.948M 57.2%
397,OneRepublicVEVO,"  5,593,937,613","  5,610,000",    184,2009-05-12,"3,169th",606th,804th,523rd,$11.2K  -  $179.4K,$134.6K  -  $2.2M,-10K 0.0%,44.85M 9.7%
398,Lady Diana,"  5,592,382,617"," 10,500,000",    884,2016-03-21,763rd,535th,3rd,248th,$33.4K  -  $534.6K,$400.9K  -  $6.4M,200K 0.0%,133.643M 12.4%
399,핑크퐁 (인기 동요・동화),"  5,569,546,347","  9,260,000","  2,160",2014-03-11,"2,388th",588th,19th,48th,$23.4K  -  $374.8K,$281.1K  -  $4.5M,140K 0.0%,93.689M 61.4%
400,NFL,"  5,563,804,557","  7,860,000"," 21,903",2014-12-14,"5,237th",570th,483rd,20th,$46.7K  -  $746.6K,$559.9K  -  $9M,220K 57.1%,186.649M 29.5%
401,Warner Bros. Pictures,"  5,557,677,142","  9,870,000","  2,487",2006-10-17,"5,453rd",600th,341st,305th,$12.4K  -  $197.9K,$148.4K  -  $2.4M,100K 233.3%,49.475M 31.8%
402,SBS Drama,"  5,548,691,308","  5,310,000","340,570",2011-02-21,"1,846th",569th,50th,788th,$30.2K  -  $483.2K,$362.4K  -  $5.8M,110K 22.2%,120.791M 14.3%
403,Eurovision Song Contest,"  5,546,184,078","  4,440,000","  6,098",2006-03-05,935th,613th,3rd,"1,098th",$7.2K  -  $115.2K,$86.4K  -  $1.4M,20K 100.0%,28.807M 18.9%
404,Ali-A,"  5,531,029,807"," 17,600,000","  3,681",2006-09-13,"12,143rd",633rd,18th,27th,$2.8K  -  $44.5K,$33.3K  -  $533.6K,--,11.116M 42.9%
405,TraLaLa - Cantece si desene animate pentru copii,"  5,513,449,929","  4,630,000","  1,296",2012-10-09,"2,653rd",604th,4th,621st,$17.5K  -  $280K,$210K  -  $3.4M,70K 0.0%,69.996M 6.0%
406,Anitta,"  5,510,585,864"," 15,300,000",     78,2011-11-02,"2,654th",627th,27th,128th,$10.8K  -  $172.4K,$129.3K  -  $2.1M,100K 0.0%,43.093M 14.1%
407,Dr. Phil,"  5,508,386,745","  5,930,000"," 11,308",2007-07-05,"7,374th",636th,721st,711th,$5.4K  -  $86.4K,$64.8K  -  $1M,50K 400.0%,21.608M 43.1%
408,The Official Gummibär Channel,"  5,501,448,124","  6,930,000",    480,2008-03-26,"3,505th",620th,592nd,96th,$13.3K  -  $212.5K,$159.4K  -  $2.6M,60K 20.0%,53.132M 22.4%
409,Talking Tom & Friends,"  5,499,252,199"," 13,800,000",    366,2010-10-14,"1,576th",596th,192nd,164th,$19.6K  -  $313.8K,$235.3K  -  $3.8M,100K 0.0%,78.449M 2.6%
410,Поззи,"  5,484,979,786"," 11,100,000","  3,173",2012-05-17,"2,749th",591st,15th,67th,$29.2K  -  $466.6K,$349.9K  -  $5.6M,200K 0.0%,116.64M 38.9%
411,DEL Records,"  5,479,491,895","  8,880,000",    204,2009-01-30,"2,036th",610th,404th,273rd,$17.3K  -  $276.6K,$207.5K  -  $3.3M,80K 14.3%,69.154M 0%
412,Трум Трум,"  5,467,813,061"," 13,100,000","  1,648",2015-10-12,"1,735th",617th,12th,22nd,$12.9K  -  $205.8K,$154.4K  -  $2.5M,100K 0.0%,51.462M 5.1%
413,50CentVEVO,"  5,444,647,865","  4,500,000",     62,2009-05-12,"2,109th",616th,"1,070th",691st,$18.4K  -  $294.3K,$220.8K  -  $3.5M,-10K 0.0%,73.586M 5.1%
414,The Young Turks,"  5,441,435,276","  5,120,000"," 42,281",2005-12-21,"7,717th",638th,889th,86th,$6.7K  -  $106.6K,$79.9K  -  $1.3M,10K 66.7%,26.645M 36%
415,Aayu and Pihu Show,"  5,430,556,906"," 13,300,000",    243,2017-05-08,402nd,514th,79th,27th,$44.4K  -  $710.1K,$532.6K  -  $8.5M,200K 50%,177.528M 20.9%
416,Renato Garcia,"  5,420,979,338"," 22,900,000","  3,067",2011-09-29,805th,579th,10th,50th,$35K  -  $560.2K,$420.1K  -  $6.7M,200K 0.0%,140.048M 34.4%
417,TheGrefg,"  5,417,288,199"," 16,900,000","  3,060",2012-01-30,"2,807th",628th,7th,31st,$11.6K  -  $186.3K,$139.7K  -  $2.2M,--,46.568M 28.1%
418,Preston,"  5,415,901,933"," 17,200,000","  3,743",2012-07-04,"1,523rd",612th,125th,89th,$17.3K  -  $277K,$207.8K  -  $3.3M,200K 100.0%,69.262M 6.3%
